Sigla,Código,Município,Produção - algodão - herbáceo (caroço) (2000),Produção - milho (2000),Produção - soja (2000),
BA,2923035,Novo Horizonte,,67.7235306259077,,
BA,2923050,Novo Triunfo,,738.186483822393,,
BA,2923100,Olindina,,853.316485886437,,
BA,2923209,Oliveira dos Brejinhos,18.0596081669087,69.9809816467713,,
BA,2923308,Ouriçangas,,67.7235306259077,,
BA,2923357,Ourolândia,,758.503543010166,,
BA,2923407,Palmas de Monte Alto,523.728636840353,85.7831387928164,,
BA,2923506,Palmeiras,,13.5447061251815,,
BA,2923605,Paramirim,49.663922458999,440.2029490684,,
BA,2923704,Paratinga,42.8915693964082,2185.21258819595,,
BA,2923803,Paripiranga,,13030.0072924246,,
BA,2923902,Pau Brasil,,4.51490204172718,,
BA,2924009,Paulo Afonso,,1250.62786555843,,
BA,2924058,Pé de Serra,,419.885889880628,,
BA,2924108,Pedrão,,24.8319612294995,,
BA,2924207,Pedro Alexandre,,607.254324612305,,
BA,2924306,Piatã,,65.4660796050441,,
BA,2924405,Pilão Arcado,,1489.91767376997,,
BA,2924504,Pindaí,291.211181691403,661.433149113032,,
BA,2924603,Pindobaçu,,228.002553107222,,
BA,2924652,Pintadas,,54.1788245007261,,
BA,2924678,Piraí do Norte,,6.77235306259077,,
BA,2924702,Piripá,,15.8021571460451,,
BA,2924801,Piritiba,,20.3170591877723,,
BA,2924900,Planaltino,,4.51490204172718,,
BA,2925006,Planalto,,36.1192163338174,,
BA,2925105,Poções,,31.6043142920902,,
BA,2925204,Pojuca,,29.3468632712267,,
BA,2925253,Ponto Novo,,239.28980821154,,
BA,2925303,Porto Seguro,,20.3170591877723,,
BA,2925402,Potiraguá,,18.0596081669087,,
BA,2925501,Prado,,83.5256877719528,,
BA,2925600,Presidente Dutra,,4063.41183755446,,
BA,2925709,Presidente Jânio Quadros,6.77235306259077,24.8319612294995,,
BA,2925758,Presidente Tancredo Neves,,45.1490204172718,,
BA,2925808,Queimadas,,173.823728606496,,
BA,2925907,Quijingue,,2085.88474327796,,
BA,2925931,Quixabeira,,295.72608373313,,
BA,2925956,Rafael Jambeiro,,487.609420506535,,
BA,2926004,Remanso,,1557.64120439588,,
BA,2926103,Retirolândia,,90.2980408345436,,
BA,2926202,Riachão das Neves,13576.3104394736,9995.99312038397,73511.6350434019,
BA,2926301,Riachão do Jacuípe,,607.254324612305,,
BA,2926400,Riacho de Santana,,3094.96534960398,,
BA,2926509,Ribeira do Amparo,,325.072947004357,,
BA,2926608,Ribeira do Pombal,,1548.61140031242,,
BA,2926657,Ribeirão do Largo,,56.4362755215897,,
