percentage_votos_centrao,ibge,municipio,pib_per_capita,uf,taxa_analfabetismo,Year
0.2647712833545108,1506302,SALVATERRA,1766.36,PA,11.5,2002
0.290168235838864,1506351,SANTA BARBARA DO PARA,2696.07,PA,11.9,2002
0.4292452830188679,1506401,SANTA CRUZ DO ARARI,2680.45,PA,21.5,2002
0.2663523865645256,1506500,SANTA IZABEL DO PARA,3447.26,PA,11.5,2002
0.2640686345790315,1506559,SANTA LUZIA DO PARA,1487.65,PA,31.8,2002
0.4485804416403785,1506583,SANTA MARIA DAS BARREIRAS,3978.46,PA,30.5,2002
0.4100719424460431,1506609,SANTA MARIA DO PARA,2353.18,PA,25.9,2002
0.5235911847359858,1506708,SANTANA DO ARAGUAIA,3466.92,PA,20.7,2002
0.1430365591397849,1506807,SANTAREM,3096.33,PA,10.7,2002
0.2103746397694524,1506906,SANTAREM NOVO,1932.76,PA,23.5,2002
0.2107912220656331,1507003,SANTO ANTONIO DO TAUA,3229.8,PA,15.6,2002
0.18142795822006,1507102,SAO CAETANO DE ODIVELAS,1853.78,PA,14.3,2002
0.1576484352149751,1507151,SAO DOMINGOS DO ARAGUAIA,1932.79,PA,27.5,2002
0.2779897525346124,1507201,SAO DOMINGOS DO CAPIM,1349.92,PA,30.4,2002
0.4333543240973971,1507300,SAO FELIX DO XINGU,4642.84,PA,23.8,2002
0.2448633044659534,1507409,SAO FRANCISCO DO PARA,1803.45,PA,18.6,2002
0.139445217950091,1507458,SAO GERALDO DO ARAGUAIA,2540.88,PA,23.8,2002
0.2074363992172211,1507466,SAO JOAO DA PONTA,2888.21,PA,17.6,2002
0.2618171108820498,1507474,SAO JOAO DE PIRABAS,1437.45,PA,24.3,2002
0.2232339955849889,1507508,SAO JOAO DO ARAGUAIA,1432.39,PA,33.2,2002
0.4353091140854047,1507607,SAO MIGUEL DO GUAMA,2820.33,PA,20.7,2002
0.2485994397759103,1507706,SAO SEBASTIAO DA BOA VISTA,1950.71,PA,20.3,2002
0.3260904947916667,1507755,SAPUCAIA,8393.42,PA,13.9,2002
0.3260904947916667,1507755,SAPUCAIA,8393.42,PA,17.2,2002
0.3813123677048685,1507805,SENADOR JOSE PORFIRIO,2181.04,PA,31.8,2002
0.309234308248439,1507904,SOURE,2130.47,PA,12.2,2002
0.2427758646503967,1507953,TAILANDIA,3286.44,PA,25.8,2002
0.2556938248415121,1507961,TERRA ALTA,1471.23,PA,12.6,2002
0.0492759074666165,1507979,TERRA SANTA,1640.79,PA,12.8,2002
0.300314465408805,1508035,TRACUATEUA,1474.03,PA,28.5,2002
0.1229773462783171,1508050,TRAIRAO,2296.99,PA,24.1,2002
