,nm_municipio,0,sg_uf
512,BEBERIBE,0.3456601466992665,CE
513,BELA CRUZ,0.22638000297574765,CE
514,BELA VISTA,0.07040940035437844,MS
515,BELA VISTA DA CAROBA,0.3763352506162695,PR
516,BELA VISTA DE GOIÁS,0.3603465025906736,GO
517,BELA VISTA DE MINAS,0.21342477140482127,MG
518,BELA VISTA DO MARANHÃO,0.740649692712906,MA
519,BELA VISTA DO PARAÍSO,0.5674346052315815,PR
520,BELA VISTA DO PIAUÍ,0.9473684210526315,PI
521,BELA VISTA DO TOLDO,0.4989229940764674,SC
522,BELFORD ROXO,0.292528766973878,RJ
523,BELMIRO BRAGA,0.48438978240302744,MG
524,BELMONTE,0.5634991559924536,BA
525,BELO CAMPO,0.1277963168953158,BA
526,BELO HORIZONTE,0.19609371464667688,MG
527,BELO JARDIM,0.1320020254446484,PE
528,BELO MONTE,0.06992777413000656,AL
529,BELO ORIENTE,0.07445039719194532,MG
530,BELO VALE,0.0686336053567692,MG
531,BELTERRA,0.02417674030846186,PA
532,BELÁGUA,0.31784386617100374,MA
533,BELÉM,0.07789645881447267,AL
534,BELÉM DE MARIA,0.058611361587015326,PE
535,BELÉM DO BREJO DO CRUZ,0.36021220159151196,PB
536,BELÉM DO PIAUÍ,0.8524004085801838,PI
537,BELÉM DO SÃO FRANCISCO,0.40237131834007717,PE
538,BENEDITINOS,0.24198447519406008,PI
539,BENEDITO LEITE,0.36597110754414125,MA
540,BENEDITO NOVO,0.055196603285951634,SC
541,BENEVIDES,0.05318946124223129,PA
542,BENJAMIN CONSTANT,0.1905349159858178,AM
543,BENJAMIN CONSTANT DO SUL,0.12964366944655042,RS
544,BENTO DE ABREU,0.5225563909774437,SP
545,BENTO FERNANDES,0.1585956416464891,RN
546,BENTO GONÇALVES,0.20172251379356748,RS
547,BEQUIMÃO,0.5264730119489082,MA
548,BERILO,0.27159713442899286,MG
549,BERIZAL,0.5563755637556376,MG
550,BERNARDINO BATISTA,0.7677233429394813,PB
551,BERNARDINO DE CAMPOS,0.43693869582194456,SP
552,BERNARDO DO MEARIM,0.4860012172854534,MA
553,BERNARDO SAYÃO,0.38157282456956726,TO
554,BERTIOGA,0.31673764906303237,SP
555,BERTOLÍNIA,0.16298633017875921,PI
556,BERTÓPOLIS,0.40039350713231675,MG
557,BERURI,0.19299958164830566,AM
558,BETIM,0.0989505720708206,MG
559,BETÂNIA,0.22902455661664392,PE
560,BETÂNIA DO PIAUÍ,0.2794339054501656,PI
561,BEZERROS,0.4026038605849645,PE
562,BIAS FORTES,0.0058503969912244045,MG
563,BICAS,0.24594825135058287,MG
564,BIGUAÇU,0.34461257976299,SC
565,BILAC,0.3909191583610188,SP
566,BIQUINHAS,0.06370126304228446,MG
567,BIRIGUI,0.4153173126410388,SP
568,BIRITIBA MIRIM,0.7523934426229508,SP
569,BIRITINGA,0.27278054497509524,BA
570,BITURUNA,0.1136468418626095,PR
571,BLUMENAU,0.06362457505344689,SC
572,BOA ESPERANÇA,0.33442232431512675,ES
573,BOA ESPERANÇA DO IGUAÇU,0.7213114754098361,PR
574,BOA ESPERANÇA DO SUL,0.4440988959726326,SP
